department,course_number
KOREAN,112
KOREAN,150
KOREAN,153
KOREAN,174
KOREAN,186
KOREAN,189
KOREAN,298
KOREAN,299
KOREAN,601
KOREAN,602
TIBETAN,1B
TIBETAN,10B
TIBETAN,115
ECON,1
ECON,2
ECON,C3
ECON,84
ECON,100A
ECON,100B
ECON,101A
ECON,101B
ECON,115
ECON,121
ECON,124
ECON,C125
ECON,131
ECON,136
ECON,138
ECON,140
ECON,141
ECON,151
ECON,152
ECON,154
ECON,155A
ECON,157
ECON,161
ECON,C171
ECON,174
ECON,C175
ECON,C181
ECON,183
ECON,191
ECON,H195B
ECON,197
ECON,199
ECON,201B
ECON,202B
ECON,206
ECON,208
ECON,209B
ECON,210A
ECON,210B
ECON,211
ECON,215B
ECON,216
ECON,217
ECON,218
ECON,219A
ECON,220A
ECON,220C
ECON,221
ECON,C222
ECON,230B
ECON,231
ECON,236B
ECON,237
ECON,240B
ECON,242
ECON,250B
ECON,251
ECON,270B
ECON,270C
ECON,271
ECON,274
ECON,280D
ECON,281
ECON,291
ECON,295
ECON,298
ECON,299
ECON,602
EDUC,30AC
EDUC,97
EDUC,98
EDUC,114A
EDUC,130
EDUC,131AC
EDUC,W140A
EDUC,140AC
EDUC,143
EDUC,160
EDUC,182AC
EDUC,183
EDUC,188B
EDUC,190
EDUC,195B
EDUC,197
EDUC,198
EDUC,199
EDUC,201B
EDUC,202D
EDUC,204C
EDUC,205
EDUC,207C
EDUC,212
EDUC,213B
EDUC,213D
EDUC,213L
EDUC,223B
EDUC,228A
EDUC,C229A
EDUC,229D
EDUC,231
EDUC,236B
EDUC,240B
EDUC,240D
EDUC,243
EDUC,244C
EDUC,246A
EDUC,249C
EDUC,250A
EDUC,258
EDUC,261A
EDUC,262C
EDUC,262G
EDUC,263B
EDUC,C265C
EDUC,266B
EDUC,269B
EDUC,270B
EDUC,272B
EDUC,273B
EDUC,274B
EDUC,274C
EDUC,275B
EDUC,275H
EDUC,275L
EDUC,278D
EDUC,279B
EDUC,280B
EDUC,280D
EDUC,283B
EDUC,283F
EDUC,290A
EDUC,290B
EDUC,290C
EDUC,290E
EDUC,294B
EDUC,294E
EDUC,295C
EDUC,298A
EDUC,298B
EDUC,298C
EDUC,299
EDUC,390B
EDUC,390C
EDUC,390D
EDUC,393
EDUC,413B
EDUC,413D
EDUC,413L
EDUC,460B
EDUC,460C
EL ENG,16A
EL ENG,16B
EL ENG,24
EL ENG,84
EL ENG,97
EL ENG,98
EL ENG,99
EL ENG,105
EL ENG,C106B
EL ENG,113
EL ENG,117
EL ENG,120
EL ENG,121
EL ENG,122
EL ENG,123
EL ENG,126
EL ENG,127
EL ENG,C128
EL ENG,130
EL ENG,134
EL ENG,137B
EL ENG,140
EL ENG,142
EL ENG,143
EL ENG,192
EL ENG,H196A
EL ENG,H196B
EL ENG,197
EL ENG,198
EL ENG,199
EL ENG,219B
EL ENG,219C
EL ENG,222
EL ENG,225A
EL ENG,C225E
EL ENG,227AT
EL ENG,C227C
EL ENG,229B
EL ENG,W230A
EL ENG,230A
EL ENG,230B
EL ENG,232
EL ENG,C235
EL ENG,W240A
EL ENG,240A
EL ENG,240B
EL ENG,W240C
EL ENG,W241B
EL ENG,241B
EL ENG,W242A
EL ENG,242A
EL ENG,W242B
EL ENG,C247B
EL ENG,C249B
EL ENG,290A
EL ENG,290P
EL ENG,290Q
EL ENG,C291
EL ENG,C291E
EL ENG,298
EL ENG,299
EL ENG,375
COMPSCI,C8
COMPSCI,9A
COMPSCI,9C
COMPSCI,9D
COMPSCI,9E
COMPSCI,9F
COMPSCI,9G
COMPSCI,9H
COMPSCI,10
COMPSCI,39R
COMPSCI,47A
COMPSCI,47B
COMPSCI,47C
COMPSCI,61A
COMPSCI,61AS
COMPSCI,61B
COMPSCI,61C
COMPSCI,70
COMPSCI,152
COMPSCI,160
COMPSCI,161
COMPSCI,162
COMPSCI,164
COMPSCI,169
COMPSCI,170
COMPSCI,172
COMPSCI,174
COMPSCI,184
COMPSCI,186
COMPSCI,188
COMPSCI,189
COMPSCI,195
COMPSCI,198
COMPSCI,250
COMPSCI,260A
COMPSCI,262A
COMPSCI,C267
COMPSCI,268
COMPSCI,270
COMPSCI,C280
COMPSCI,C281B
COMPSCI,284A
COMPSCI,286A
COMPSCI,289A
COMPSCI,294
COMPSCI,297
COMPSCI,298
COMPSCI,299
COMPSCI,375
COMPSCI,399
"ENE,RES",99
"ENE,RES",102
"ENE,RES",175
